club,club_logo
San Lorenzo de Almagro,https://cdn.futbin.com/content/fifa18/img/clubs/1013.png
Chicago Fire Soccer Club,https://cdn.futbin.com/content/fifa18/img/clubs/693.png
Feyenoord,https://cdn.futbin.com/content/fifa18/img/clubs/246.png
FC Krasnodar,https://cdn.futbin.com/content/fifa18/img/clubs/112218.png
Angers SCO,https://cdn.futbin.com/content/fifa18/img/clubs/1530.png
Montreal Impact,https://cdn.futbin.com/content/fifa18/img/clubs/111139.png
Chievo Verona,https://cdn.futbin.com/content/fifa18/img/clubs/192.png
LA Galaxy,https://cdn.futbin.com/content/fifa18/img/clubs/697.png
Vissel Kobe,https://cdn.futbin.com/content/fifa18/img/clubs/101146.png
Bologna,https://cdn.futbin.com/content/fifa18/img/clubs/189.png
LOSC Lille,https://cdn.futbin.com/content/fifa18/img/clubs/65.png
Orlando City Soccer Club,https://cdn.futbin.com/content/fifa18/img/clubs/112606.png
Atlanta United FC,https://cdn.futbin.com/content/fifa18/img/clubs/112885.png
Independiente,https://cdn.futbin.com/content/fifa18/img/clubs/110093.png
Club Atlético Lanús,https://cdn.futbin.com/content/fifa18/img/clubs/110395.png
RSC Anderlecht,https://cdn.futbin.com/content/fifa18/img/clubs/229.png
İstanbul Başakşehir FK,https://cdn.futbin.com/content/fifa18/img/clubs/101014.png
Hannover 96,https://cdn.futbin.com/content/fifa18/img/clubs/485.png
Newcastle United,https://cdn.futbin.com/content/fifa18/img/clubs/13.png
Málaga CF,https://cdn.futbin.com/content/fifa18/img/clubs/573.png
Trabzonspor,https://cdn.futbin.com/content/fifa18/img/clubs/436.png
PSV,https://cdn.futbin.com/content/fifa18/img/clubs/247.png
FC Augsburg,https://cdn.futbin.com/content/fifa18/img/clubs/100409.png
Club Tijuana,https://cdn.futbin.com/content/fifa18/img/clubs/111678.png
VfB Stuttgart,https://cdn.futbin.com/content/fifa18/img/clubs/36.png
Hamburger SV,https://cdn.futbin.com/content/fifa18/img/clubs/28.png
CD Leganés,https://cdn.futbin.com/content/fifa18/img/clubs/100888.png
Getafe CF,https://cdn.futbin.com/content/fifa18/img/clubs/1860.png
Deportivo Alavés,https://cdn.futbin.com/content/fifa18/img/clubs/463.png
Portland Timbers,https://cdn.futbin.com/content/fifa18/img/clubs/111140.png
Kayserispor,https://cdn.futbin.com/content/fifa18/img/clubs/101020.png
Udinese,https://cdn.futbin.com/content/fifa18/img/clubs/55.png
Standard de Liège,https://cdn.futbin.com/content/fifa18/img/clubs/232.png
Alanyaspor,https://cdn.futbin.com/content/fifa18/img/clubs/113142.png
1. FSV Mainz 05,https://cdn.futbin.com/content/fifa18/img/clubs/169.png
Sparta Praha,https://cdn.futbin.com/content/fifa18/img/clubs/267.png
FC Nantes,https://cdn.futbin.com/content/fifa18/img/clubs/71.png
Al Ahli,https://cdn.futbin.com/content/fifa18/img/clubs/112387.png
SC Braga,https://cdn.futbin.com/content/fifa18/img/clubs/1896.png
Brighton & Hove Albion,https://cdn.futbin.com/content/fifa18/img/clubs/1808.png
Levante UD,https://cdn.futbin.com/content/fifa18/img/clubs/1853.png
Boca Juniors,https://cdn.futbin.com/content/fifa18/img/clubs/1877.png
Columbus Crew SC,https://cdn.futbin.com/content/fifa18/img/clubs/687.png
